Waktu,Suhu_Ruangan,Kelembapan,Suhu_Air,Jarak_Sensor
19:53,26.4,57.3,25.31,15.66
19:54,26.38,57.1,25.34,15.83
19:55,26.36,56.9,25.36,16.0
19:56,26.34,56.7,25.39,16.16
19:57,26.32,56.5,25.41,16.32
19:58,26.3,56.3,25.44,16.49
19:59,26.5,56.8,25.44,21.59
20:00,26.9,55.35,31.5,21.61
20:01,26.8,55.45,26.41,21.61
20:02,26.1,55.6,25.94,19.38
20:03,26.1,55.85,25.69,20.33
20:04,26.2,54.9,25.5,20.33
20:05,26.2,54.4,29.03,20.32
20:06,26.2,53.35,26.97,20.33
20:07,26.2,52.85,27.32,20.33
20:08,26.4,51.7,26.0,20.33
20:09,26.5,50.1,26.16,20.33
20:10,25.8,50.0,25.0,20.33
20:11,25.7,50.0,27.44,20.33
20:12,26.15,48.75,26.22,20.17
20:13,25.75,48.95,34.9,20.33
20:14,26.5,46.1,29.56,20.33
20:15,25.7,47.1,27.16,20.33
